Topic_B_1,Topic_B_2,Topic_B_3,Topic_B_4,Topic_B_5,Topic_B_6,Topic_B_7,Topic_B_8,Topic_B_9,Topic_B_10,Topic_B_11,Topic_B_12,Topic_B_13
0.05263157894736842,0,0,0,0,0,0,0,0,0.05263157894736842,0.1111111111111111,0,0
0.05263157894736842,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0
0,0,0,0,0,0,0,0,0,0,0,0.05263157894736842,0
0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111
0,0,0,0,0.17647058823529413,0,0,0,0.05263157894736842,0,0,0,0
0,0,0,0,0,0.17647058823529413,0,0,0,0,0,0,0
0,0,0.17647058823529413,0,0,0,0,0,0.05263157894736842,0,0,0,0
0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0
0,0.25,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.05263157894736842,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.05263157894736842,0.05263157894736842,0,0
0,0,0,0,0,0,0,0.17647058823529413,0.1111111111111111,0,0,0,0
0.17647058823529413,0,0,0,0,0,0,0,0.17647058823529413,0,0,0,0
0,0.05263157894736842,0,0,0,0.05263157894736842,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.05263157894736842,0,0.05263157894736842,0,0
0,0,0.1111111111111111,0,0,0,0.1111111111111111,0,0,0,0,0,0
